,Style_1,Style_2,External(SSIM),External(MSE),Internal(SSIM),Internal(MSE),Plan(SSIM),Plan(MSE),Concept(Text),Topology,External(VGG16),Internal(VGG16),Plan(VGG16),Concept(BoW),Concept(Transformer)
Bergpolderflat&EquitableBuilding,08_EarlyModernism,10_International,27.64349975,13.0904388,41.03117532,10.72041147,34.60002972,4.806305147,71.71596885,161,0.373260252,0.344291672,0.463968195,0.597261,0.131582573
Bergpolderflat&Glaspaleis,08_EarlyModernism,10_International,23.84065134,11.35850872,46.67830421,10.14348328,22.52415876,28.82502381,83.2662046,30,0.423400939,0.437905038,0.341553599,0.497162732,0.530295193
Bergpolderflat&Kiefhoek,08_EarlyModernism,10_International,28.47179257,13.08804239,50.8110776,9.209160785,38.25203912,5.017047404,90.58607817,31,0.261763357,0.388058715,0.430750486,0.481125224,0.471021414
Bergpolderflat&SeagramBuilding,08_EarlyModernism,10_International,24.71876791,12.9712051,39.53739069,14.35217943,36.20119789,4.335588476,78.74562144,66,0.398586817,0.395587325,0.458408723,0.522036898,0.314222246
FagusFactory&EquitableBuilding,08_EarlyModernism,10_International,38.6070534,11.98195763,38.80713369,7.233371601,50.86513481,4.199718421,89.98329043,162,0.336607613,0.363320298,0.515758649,0.53008127,0.22914663
FagusFactory&Glaspaleis,08_EarlyModernism,10_International,31.9260679,8.676900375,41.45884315,10.50086738,47.91528773,17.39777828,93.73874664,67,0.435270317,0.397770941,0.435278773,0.42700841,0.392408818
FagusFactory&Kiefhoek,08_EarlyModernism,10_International,37.73089574,7.739631209,46.959438,7.580059644,46.87198417,5.430784156,84.83437896,64,0.336104997,0.376743697,0.480381254,0.338048325,0.313905805
FagusFactory&SeagramBuilding,08_EarlyModernism,10_International,34.66204429,11.56478799,31.81957828,13.23507438,55.09731953,3.733672251,92.02343822,63,0.324604653,0.359077923,0.534110179,0.491398251,0.214921519
Tugendhat&EquitableBuilding,08_EarlyModernism,10_International,29.33412723,22.49070418,37.58065292,10.28547471,33.66753294,4.365616348,91.08608961,162,0.336956155,0.296982661,0.447942123,0.593493233,0.148935616
Tugendhat&Glaspaleis,08_EarlyModernism,10_International,29.27756649,13.30801366,42.54983103,10.25672963,30.05189514,17.50316157,92.64537096,39,0.363216981,0.364176358,0.42313911,0.459572515,0.442446053
